Response Time,Availability,Throughput,Successability,Reliability,Compliance,Best Practices,Latency,Documentation,Service Name,Service Classification
203,57,1.2,59,67,89,72,110.5,83,eSynapsFeed,Silver
271,63,2.7,64,67,89,72,152,84,polydotService,Gold
894.5,56,3,57,83,89,91,715.25,85,codcopyService,Platinum
316.07,32,1,32,60,89,69,225,94,IgetNumbersservice,Gold
214.75,57,1.3,58,67,89,72,147.25,84,cpgreportService,Silver
388.25,57,1.1,59,67,89,72,237.25,85,ServicioGeocodificacion,Platinum
496.43,48,0.8,48,67,89,72,338.86,90,Order,Platinum
280.5,52,0.8,52,67,89,72,163.5,82,InteropTestExtensibility,Gold
568.6,54,1.3,54,67,89,72,404.6,81,retsinfoService,Platinum
689.42,34,1.1,34,67,89,72,236.75,87,newseqService,Platinum
188.67,68,0.6,68,67,89,72,60,79,IXMLWS2service,Silver
399.6,52,1.5,53,67,89,72,227.8,82,SerClsPeticionSOAPTPVPCservice,Platinum
448.67,65,1.1,66,73,100,80,127.34,64,ServicioGeocodificacion,Platinum
289.25,92,11.4,93,73,100,80,4.63,60,XmppService,Gold
415.93,95,7.3,95,67,100,77,10.29,60,IgetNumbersservice,Platinum
349.07,95,9.1,96,67,100,77,5.4,63,newseqService,Platinum
319.2,89,3.9,96,58,89,69,1.4,59,Content,Gold
266.33,85,1.1,95,67,78,85,11.44,7,noreturnService,Gold
84,91,30.9,97,73,89,62,21,8,XWeb1003Port,Bronze
57,98,34.6,100,73,100,84,1,95,VinService,Bronze
335.58,65,8.9,66,73,78,80,3.75,11,MedicareData,Gold
307.75,71,2.1,71,73,78,84,2.37,4,SwissCities,Gold
205,65,9.8,66,73,67,84,27.42,42,DOTSTimeZoneAppend,Silver
1376,99,8.2,95,83,89,91,856,63,GetNodes,Platinum
540.67,75,7.3,76,83,50,91,123,65,WolframSearchService,Platinum
3768.33,63,1.4,63,83,50,91,1991,56,OTNGUIDGenerator,Platinum
112.33,86,1.7,95,73,78,62,1,3,SailboatCalcsWS,Bronze
108.67,88,5.2,88,73,89,75,19.67,9,retsinfoService,Bronze
101,86,22.5,86,73,89,80,2.5,6,DOTSValidateCanada,Bronze
175.75,78,10.8,78,73,89,80,79.75,24,CommandService,Silver
2779.5,28,1.5,28,60,89,69,1.38,11,generate_login_token,Platinum
80,99,36.3,100,80,100,87,13,3,XWeb1003Port,Bronze
484.5,78,5.9,79,67,89,72,43.5,1,eSynapsFeed,Platinum
305,86,21.7,95,73,100,84,1,4,Tools,Gold
90,97,29.1,99,73,100,84,25,12,ContainerTrackingWebService,Bronze
56.17,97,11.3,97,83,78,91,7.17,3,Remember_x0020_God,Bronze
172.57,90,9.7,97,67,100,66,10.24,91,supermatcherService,Silver
174.5,72,13.3,72,83,89,91,3.5,96,HashClass,Silver
214.62,32,2.3,32,53,78,66,57.39,3,WarrantyClaimWebService,Silver
194.5,72,5.3,72,78,50,85,28,2,svcAMBatchService,Silver
144.31,56,7.4,57,60,67,74,105.5,56,webservice,Silver
321.5,56,3.7,57,67,78,85,14.25,1,TableJobs,Gold
205.12,100,12.3,100,67,78,77,0.62,28,NetToolsService,Silver
175.5,90,7.6,97,80,100,83,39,11,TelesignAPI,Silver
178.75,56,8.4,56,60,89,69,4,2,dregService,Silver
268,88,10.9,88,67,78,72,11,2,SmsGatewayService,Gold
212.67,88,11.8,88,67,78,72,9.34,9,LanguageDictionary,Silver
185,71,13.6,72,67,89,72,5.5,3,SIAP,Silver
257.67,88,8.9,88,67,78,72,16.67,9,RealTimeStockQuotes,Gold
287.36,89,9.7,96,73,100,80,6.27,9,categoryfeatures,Gold
386,87,20.5,96,73,89,62,13,1,lmapi,Platinum
101,85,16.1,95,73,89,75,16,64,vrnaevalService,Bronze
77.9,91,17.1,97,73,78,62,20.57,36,Date,Bronze
321.71,86,4.5,95,73,78,84,76.42,63,MessageGroupService,Gold
41,97,43.1,99,73,100,84,1,5,XWeb1003Port,Bronze
1138.33,88,4.7,88,73,100,80,402.33,11,XmppService,Platinum
505,89,7.8,96,83,89,91,32.67,60,sigscanService,Platinum
97.73,97,13.3,99,60,67,74,4.46,32,fdollopService,Bronze
112,83,26.1,84,83,89,91,8,58,infoseqService,Bronze
50.07,27,11.2,27,67,78,82,5.93,89,yankService,Bronze
79.12,70,5.3,70,73,89,84,2.87,7,SwissCities,Bronze
416.25,69,6,70,67,78,72,164.13,93,InteropTestExtensibility,Platinum
125.45,59,8.6,60,73,78,84,58.45,93,Batch_Transfer,Bronze
142.56,60,7.9,61,73,67,80,86,93,cutseqService,Silver
87.9,67,14.7,67,73,67,80,37.8,88,DMReporting,Bronze
125.88,69,10.5,70,73,78,80,66.88,89,Wsession,Bronze
109.75,70,11.4,70,73,78,80,61.25,96,Wsession,Bronze
324.44,31,4.9,32,60,78,83,123.94,11,SortNumbers,Gold
332.11,31,4.5,31,60,78,83,118.67,9,Beheer,Gold
539.72,23,4,24,60,78,83,146.94,10,SortNumbers,Platinum
464.17,22,3.5,23,60,78,83,124.39,6,Beheer,Platinum
122.27,53,6.5,53,67,89,72,81.27,9,SQL_x0020_Formatter_x0020_Web_x0020_Service,Bronze
270.5,45,1.6,45,58,78,69,2.83,5,DOTSAddressValidate,Gold
315,100,26.2,100,83,89,91,5,6,NavFunctions,Gold
232.83,46,4.9,47,78,89,89,11,12,ehmmfetchService,Gold
1189.5,72,7.2,72,78,89,89,2,5,OHRwurmSearchService,Platinum
1104.67,47,3.1,47,83,89,91,29.84,1,sycoService,Platinum
1259.33,37,2.9,38,67,89,72,44.77,1,vrnacofoldpfService,Platinum
180.36,85,10.8,95,73,100,75,13,4,ResellerService,Silver
440.06,91,7,97,60,89,69,182.3,4,MetarService,Platinum
208.6,67,4,67,73,89,75,56.1,4,XWeb1003Port,Silver
124.33,96,7.7,99,80,89,65,43,97,DGV_SCADA,Bronze
136.38,70,4.8,70,73,89,84,5.88,4,SwissCities,Bronze
615,97,1.4,99,80,78,65,54.5,33,HomeWorkService,Platinum
64,93,9.9,98,80,78,65,2,11,Securlogin,Bronze
78,100,10,100,80,78,65,1,12,utils_database_indexing__dbigcgService,Bronze
267,98,9.5,100,80,78,65,2,3,XmlHttpCheck,Gold
175,86,9.4,86,73,78,84,3,8,walker_service,Silver
192.5,86,8.6,86,73,78,84,3.5,10,walker_service,Silver
125,86,9.4,86,73,78,84,3,7,walker_service,Bronze
115,86,8.7,86,73,78,84,2,5,walker_service,Bronze
149.67,89,1.1,96,73,78,80,13,8,TimeZones,Silver
121.67,99,9.6,100,73,100,84,0.67,65,Simple,Bronze
173.88,99,3,100,73,100,87,1.5,95,TemperatureService,Silver
301,20,4,21,42,100,66,7.67,88,flights,Gold
219,99,16.4,99,80,100,83,1,2,CasService,Silver
266.92,72,1.4,72,80,100,83,2.34,2,GBNIRHolidayDates,Gold
159.5,71,20.2,72,80,100,78,5.5,2,NWs,Silver
211,22,9.2,23,73,89,80,9.05,10,BNPrice,Silver
110,83,20.8,84,58,78,84,6,7,ProductActivation,Bronze
81,93,35.6,98,58,89,75,1,6,ContactServiceNoHeader,Bronze
136,89,20.3,96,60,89,69,51,7,SearchService,Bronze
133,100,7.7,100,60,89,69,48.25,5,tfmService,Bronze
206.25,87,6.1,95,60,89,69,96.25,9,DictionaryManager,Silver
126.22,92,14.1,97,73,78,62,19.44,88,BNPriceWS,Bronze
3343,83,5.5,84,83,89,91,2,3,CDASWS,Platinum
1410,83,10.6,84,83,89,91,5,11,NSVMCachingAPI,Platinum
1703,83,9,84,83,89,91,6,7,showmyip_lookup,Platinum
1360,83,10.4,84,83,89,91,3,3,WSFastaService,Platinum
1462,83,9.9,84,83,89,91,3,8,PersonalizationService,Platinum
121,91,7.9,97,73,78,84,10,12,newcpgseekService,Bronze
210.67,98,15.1,99,73,78,80,4.56,11,WarrantyClaimWebService,Silver
2909.47,94,1.3,98,67,100,82,34.68,7,XWeb1003Port,Platinum
113.75,8,9.2,9,67,78,72,3.85,6,codeService,Bronze
994.26,30,2.8,30,67,78,82,88.47,6,FrequencyUnit,Platinum
133,86,7.7,95,73,78,84,10.67,9,newcpgseekService,Bronze
96,83,21,84,73,100,80,3,3,NSVMCachingAPI,Bronze
579.58,98,1.2,98,60,100,72,106.15,2,EMBLNucleotideSequenceWebService,Platinum
770.6,98,1,98,60,100,72,254.5,11,EMBLNucleotideSequenceWebService,Platinum
199.25,92,8.2,97,80,100,87,20,90,notseqService,Silver
349,91,21.3,97,58,100,75,1,9,ContactServiceNoHeader,Platinum
171,83,20.1,84,83,89,91,3,57,registeronline,Silver
3166,72,3.7,72,83,89,91,1.5,57,ExceptionCollectionService,Platinum
1021.5,65,3.1,65,73,89,75,4.83,66,ExceptionCollectionService,Platinum
622.33,75,6.3,76,53,89,66,7,62,LanguagesService,Platinum
288.8,51,5.9,51,83,89,91,3.8,58,GFCore,Gold
165,83,27,84,83,89,91,2,9,needleService,Silver
128.5,72,21.7,72,78,89,89,8.5,6,newcpgseekService,Bronze
134.5,72,15.9,72,78,89,89,11,11,newcpgseekService,Bronze
189,100,15.4,100,73,100,84,21.5,94,Util,Silver
854,96,14.7,99,73,100,84,1,87,ContactService,Platinum
1041,83,12.8,84,73,89,75,5,11,SIMPS,Platinum
498.5,91,4.8,91,60,89,82,31.17,7,SMSGateway,Platinum
563.5,90,4.3,97,72,78,89,50.33,11,vrnainverseService,Platinum
252,100,20.6,100,58,100,75,1,4,XigniteRealTime,Gold
154.1,53,8.6,54,67,89,77,72.62,4,grtnwsSOAP,Silver
369.4,61,6.9,61,73,89,75,29.6,3,SendContentService,Platinum
114.33,85,16.2,95,73,100,84,13,39,MemberServices,Bronze
125.33,94,7.9,98,73,78,84,10.33,12,newcpgseekService,Bronze
168.25,56,5.7,57,67,78,72,20.25,10,MessageGroupService,Silver
158,72,10.4,72,67,78,82,10.5,92,Registre,Silver
225.75,78,6.5,79,67,89,82,67.5,95,IOHandler,Silver
150.25,78,10.7,78,73,89,84,3.75,3,OTNHelloWorld,Silver
157.5,86,16.4,86,73,89,84,1.5,32,Registre,Silver
333.5,68,3,68,73,89,84,2.9,40,ASPNLogin,Gold
119.83,74,2.8,74,73,78,80,35.33,87,SvnAdmin,Bronze
1134.14,62,1.9,63,73,89,80,1.32,92,rshare,Platinum
140.8,90,5.6,91,60,89,69,13.4,62,CursBCE,Bronze
161,83,25.6,84,78,89,89,4,5,zipinfo,Silver
159.62,34,0.9,35,78,89,89,3,6,SearchService,Silver
220,95,22,98,80,100,87,21,6,EditService,Silver
101.5,90,1.4,97,58,100,75,8.25,4,SZTAKI_Webster,Bronze
56,97,9,99,73,78,84,1,35,Celsius42,Bronze
324.5,95,3.9,99,73,78,75,68,2,ESVService,Gold
3356.5,91,1.5,97,60,78,79,19.07,91,WarrantyClaimWebService,Platinum
111,72,15,72,83,89,91,6.5,8,Api,Bronze
72.25,89,10.1,89,78,78,89,2.75,11,EHCIntegrationService,Bronze
261.62,21,1.5,21,53,78,66,14.12,3,lu,Gold
207.88,92,6.4,93,33,78,59,9.67,3,MacamMailer,Silver
635.42,32,0.3,33,33,78,59,370.75,3,Nearest_x0020_Service,Platinum
194.59,95,9.4,96,53,89,66,5.33,9,UniquesubsService,Silver
130.14,88,20.5,96,80,78,83,19.28,1,KEGG,Bronze
78,100,35.3,100,67,78,72,1,63,CooccurrencesAllService,Bronze
231,83,19.6,84,83,89,91,8,35,MonsterBusinessGatewayService,Gold
152.5,86,4.5,87,73,78,84,2,11,VasService,Silver
789.8,98,2.2,95,73,89,62,593.2,4,Servicio_etiquetado,Platinum
168.33,87,1.5,96,73,89,62,0.66,12,RouteCalSrv2Service,Silver
563.22,86,2.6,95,73,89,62,1.66,8,MNOAccessService,Platinum
171.6,93,6.6,98,73,89,62,1.8,9,palindromeService,Silver
179.5,94,10.5,98,73,89,62,1.25,9,equicktandemService,Silver
189.5,94,3.8,98,73,89,62,1.5,5,CasService,Silver
37,71,21.3,72,73,78,84,3,4,RouteCalSrv2Service,Bronze
175.6,51,6.4,51,80,100,87,12.4,63,SdssCutout,Silver
160,83,25.7,84,78,89,89,3,7,GSXWS,Silver
77,50,9.2,51,78,89,89,3.2,66,Service1,Bronze
498.67,90,6.3,96,73,78,84,9.34,10,newcpgseekService,Platinum
113,100,11.3,100,73,78,84,6.67,8,newcpgseekService,Bronze
146.33,100,6.9,100,73,78,84,8,12,newcpgseekService,Silver
133.33,95,8,98,73,78,84,10,10,newcpgseekService,Bronze
845.18,11,2.7,11,67,89,82,655.66,86,fdnacompService,Platinum
219,97,21.9,99,80,100,87,23,5,EditService,Silver
158,100,23.3,100,80,89,87,1,10,Game,Silver
481.9,94,2.1,94,67,67,84,6.7,89,MyWorld,Platinum
1818.64,62,2.4,63,73,78,84,37.35,11,SummaryService,Platinum
193,83,26.2,84,80,100,83,3,4,ADQLTranslator,Silver
538,97,10.2,99,73,78,84,2,88,WebSystemService,Platinum
107.33,63,15.1,63,73,100,84,4,2,WebServiceAgentService,Bronze
214.67,63,12.5,63,73,78,84,25.67,12,WebServiceAgentService,Silver
327.86,94,6.3,98,67,100,77,4.22,91,SOAPReceive,Gold
620.25,91,8.5,97,78,78,89,13.75,8,SympaSOAP,Platinum
365.5,61,2.1,62,73,67,84,101.6,94,WSNCBIBlastService,Platinum
793.17,48,1.7,48,67,89,72,2.34,5,LandmarkService,Platinum
664,83,11.4,84,53,89,66,2,6,Users,Platinum
330,83,15.6,84,67,78,72,3,8,captchaWebService,Gold
1730,72,2,72,67,89,72,245.5,9,JIPComuniService,Platinum
4480.8,52,1,53,50,78,66,1652.4,8,RouteCalSrv2Service,Platinum
636.25,56,4.8,56,67,78,72,2,10,WemCarts,Platinum
266,83,19.2,84,83,89,91,8,10,SerClsPeticionSOAPTPVPCservice,Gold
481,83,18.5,84,78,89,89,4,6,unionService,Platinum
303.33,73,3.7,74,73,78,84,0.33,12,VocabularyTermsService,Gold
234,87,15.4,96,73,100,80,2,61,sbml,Gold
80.4,91,2.9,97,73,100,84,43.3,90,Batch_Transfer,Bronze
76.88,92,17.4,97,60,89,54,26.47,96,UKAddressVerification,Bronze
107,87,1.9,95,73,89,62,58.33,93,cutseqService,Bronze
80.55,94,13.6,94,60,89,54,26.19,92,RsvmService,Bronze
144,83,25.3,84,83,89,91,4,10,needleService,Silver
115,98,17.9,100,73,100,83,2,9,NSVMCachingAPI,Bronze
713.2,99,7.9,100,58,100,75,15.8,39,XigniteEmerging,Platinum
213.2,88,1.6,96,73,100,84,7.8,36,DerniersDecesEPF,Silver
203.8,93,1.9,98,73,100,84,9.4,37,DerniersDecesEPF,Silver
245.8,89,1.2,96,73,100,84,7.4,34,InboxServiceNoHeader,Gold
246.4,87,0.8,95,73,100,84,5.6,37,InboxServiceNoHeader,Gold
267,94,1.8,98,58,100,75,7.4,31,Beheer,Gold
194.6,90,1.9,97,58,100,75,5.4,41,Beheer,Silver
231.4,99,1.5,100,73,100,84,6.8,41,TVCaboEPG,Gold
210.6,88,0.7,96,73,100,84,6.6,40,TVCaboEPG,Silver
207.2,85,1.1,95,73,100,84,7,36,WahooScoresService,Silver
220.6,90,1.3,96,73,100,84,9.2,37,WahooScoresService,Silver
192,98,1.3,100,73,100,84,14,40,ConferenceService,Silver
300.8,86,2.2,95,73,100,84,6.4,33,ConferenceService,Gold
248.4,98,1.4,99,58,100,75,10.2,37,ExampleService,Gold
206,89,1.4,96,58,100,75,10,40,ExampleService,Silver
205.8,90,1.3,97,58,100,75,8.4,32,XmppService,Silver
213.2,98,0.9,100,58,100,75,7.2,41,XmppService,Silver
225.2,100,14,100,73,100,84,10.4,35,TranslateSvc,Silver
211.4,100,14.7,100,73,100,84,7.8,37,TranslateSvc,Silver
254.4,97,1.6,99,73,100,84,7.6,39,SendServiceNoHeader,Gold
328.6,86,1.7,95,73,100,84,9.2,37,SendServiceNoHeader,Gold
472.8,96,10.2,99,58,100,75,6.4,36,mwfilterService,Platinum
240.4,88,1.9,96,73,100,84,5.2,35,SSOws,Gold
320.4,89,12.3,96,73,100,84,9.2,35,chaosService,Gold
230.2,89,14.6,96,73,100,84,11.2,33,chaosService,Gold
277.4,93,1,98,73,100,84,11.2,39,CommuneInfoService,Gold
491.8,90,9.8,96,73,100,84,12,37,sfconnector,Platinum
419.6,92,10.8,97,73,100,84,9.6,38,sfconnector,Platinum
256.2,92,13.7,97,58,100,75,9.6,41,FaxService,Gold
221.8,99,15.6,100,58,100,75,5.4,40,FaxService,Silver
217.8,90,1.3,96,73,100,84,7.4,40,weasel,Silver
231.8,87,1.1,95,73,100,84,9.2,36,weasel,Gold
301.8,98,1.2,100,73,100,84,8.2,31,ZipCodeLookup,Gold
463.6,94,2.1,98,73,100,84,23.2,32,ZipCodeLookup,Platinum
208,92,1.1,97,73,100,84,9.2,39,WahooScoresService,Silver
357.8,87,1.2,95,73,100,84,7,40,WahooScoresService,Platinum
220.4,85,15.6,95,58,100,75,5.8,39,NetworkNode,Silver
390.2,91,11,97,58,100,75,8.6,41,NetworkNode,Platinum
220.8,93,1.7,98,73,100,84,8,41,VocabularyTermsService,Silver
194.8,92,1.8,97,73,100,84,5.2,41,VocabularyTermsService,Silver
303.8,93,13,98,73,100,84,6.4,36,GeoPointService,Gold
226,97,14.6,99,73,100,84,11.2,34,GeoPointService,Silver
226.6,95,15.5,98,73,100,84,6.6,42,FullerData_x0020_High_x0020_Score_x0020_Service,Silver
243,88,13.8,96,73,100,84,10.2,36,FullerData_x0020_High_x0020_Score_x0020_Service,Gold
203,89,0.8,96,73,100,84,6,42,FlightInformation,Silver
202.4,85,0.8,95,73,100,84,7.4,31,FlightInformation,Silver
227.6,86,14.5,95,73,100,84,10.6,39,VizieRBetaService,Gold
375,93,11.2,98,73,100,84,9.8,42,VizieRBetaService,Platinum
219.8,98,1.3,100,73,78,84,5.8,35,ContainerTrackingWebService,Silver
218.2,93,2.4,98,73,78,84,6.8,40,ContainerTrackingWebService,Silver
305.8,88,13.5,96,58,100,75,6,33,LottoDrawings,Gold
328,85,12,95,58,100,75,9.6,33,LottoDrawings,Gold
258.2,91,13.6,97,58,100,75,6.8,40,tipsService,Gold
230.4,100,14.5,100,58,100,75,11.4,42,tipsService,Gold
243,93,13.7,98,58,100,75,9,35,Beheer,Gold
220.6,88,15,96,58,100,75,6.2,38,Beheer,Silver
233,89,1.6,96,73,100,84,8.8,31,CEqImageSecure,Gold
212.2,95,1.6,98,73,100,84,12.8,32,CEqImageSecure,Silver
208.4,94,1.1,98,73,100,84,9.2,37,Systamex,Silver
238.4,95,1.3,98,73,100,84,9.2,36,Systamex,Gold
367.4,85,4.4,95,73,100,84,6,35,POCP SOAP Interface,Platinum
386.4,100,3.6,100,73,100,84,4.8,40,POCP SOAP Interface,Platinum
494.8,97,9.6,99,73,100,84,10.2,38,Courses,Platinum
274,100,14,100,73,100,84,6.6,32,Fasta,Gold
222.6,85,15.6,95,73,100,84,6,34,Fasta,Silver
234,97,2.6,99,73,100,84,4.2,39,CatalogService,Gold
221,87,1.2,95,73,100,84,6,42,CatalogService,Silver
472.6,92,9.9,97,58,100,75,10,34,HOSTSupplierContainerRunService,Platinum
379.6,89,11,96,73,100,84,6,38,Afstandsberegner,Platinum
439.4,88,9.4,96,73,100,84,10,33,Afstandsberegner,Platinum
236.2,98,1.1,100,73,100,84,7.2,41,DataEnhancement,Gold
232.2,87,2.2,95,73,100,84,7.8,38,DataEnhancement,Gold
250,92,13.8,97,73,100,84,9.4,36,DistanceService,Gold
231.6,96,14,99,73,100,84,10.6,42,DistanceService,Gold
235.4,87,1.4,95,73,100,84,10,41,XWebCheckOut,Gold
206,95,1.2,98,73,100,84,8.8,34,XWebCheckOut,Silver
210,89,15.7,96,73,100,84,5.8,38,DataEnhancement,Silver
391.6,92,10.8,97,73,100,84,12.6,35,DataEnhancement,Platinum
257.8,92,1.1,97,73,100,84,8.2,38,BEP,Gold
204.6,96,1.9,99,58,100,75,7.8,33,ABRXMLPubSub,Silver
203.6,97,3.3,99,58,100,75,6.8,32,ABRXMLPubSub,Silver
259,97,1.2,99,58,100,75,7.2,32,zCalcSvc,Gold
200.4,97,2.3,99,73,100,84,6.2,33,StockQuote,Silver
190,95,1.1,98,73,100,84,6,38,StockQuote,Silver
276.6,93,2.3,98,73,100,84,5.8,42,Lodge,Gold
223.6,92,14.6,97,73,100,84,8.8,33,JExamInfoServiceService,Silver
220.6,96,1.3,99,73,100,84,6.2,39,TexServices,Silver
200.8,93,2.4,98,73,100,84,7.4,41,TexServices,Silver
206.8,89,2.5,96,73,100,84,6.2,32,ZtpInterfacesService,Silver
234.2,94,2.6,98,73,100,84,5.6,38,ZtpInterfacesService,Gold
220.2,93,14.2,98,73,100,84,9,34,ICD9ToICD10,Silver
224.2,95,14.3,98,73,100,84,10.4,40,ICD9ToICD10,Silver
215.6,89,1.5,96,73,100,84,11.8,38,WSCitationImplService,Silver
243.6,85,1.9,95,73,100,84,7,41,WSCitationImplService,Gold
219.2,85,0.9,95,58,100,75,7.6,36,ExPtLinkSampleService,Silver
200,87,1.2,96,58,100,75,8.6,32,ExPtLinkSampleService,Silver
235.2,94,1.2,98,58,100,75,8,41,VocabularyTermsService,Gold
217.2,90,0.8,97,58,100,75,9.6,32,VocabularyTermsService,Silver
672.2,91,7.9,97,73,100,84,9.2,36,BGTBoundaryGeocoder,Platinum
276,88,13.5,96,73,100,84,6.4,36,BGTBoundaryGeocoder,Gold
237.8,99,14.3,100,73,100,84,9.6,32,XigniteHistorical,Gold
213,100,1.3,100,58,100,75,8.6,38,ValidateService,Silver
273.2,86,1.8,95,58,100,75,8.2,40,ValidateService,Gold
443,98,10.1,100,58,100,75,5.8,39,XmlTracking,Platinum
518.8,97,9.7,99,58,100,75,8.8,40,XmlTracking,Platinum
328,94,12.3,98,73,100,84,10.6,33,FindService,Gold
209.4,98,1.4,100,73,100,84,10,41,stretcherService,Silver
231.2,95,1.2,98,73,100,84,10.2,34,stretcherService,Gold
222.4,94,1.7,98,73,100,84,5.6,41,politicalareareport,Silver
220.8,85,0.8,95,73,100,84,10.8,35,ICD10,Silver
262,85,1.7,95,73,100,84,7.2,32,ICD10,Gold
306,90,12.6,96,73,100,84,7,35,GetCustomNews,Gold
304.8,89,13.5,96,73,100,84,6.6,42,GetCustomNews,Gold
227,92,15,97,73,100,84,6.6,34,DispatcherAPIService,Gold
217.6,94,14.1,98,73,100,84,10.6,34,DispatcherAPIService,Silver
306.8,90,12.7,97,73,100,84,9,35,CityLocations,Gold
485.6,94,9.6,98,73,100,84,7.6,37,CityLocations,Platinum
214.4,89,14.6,96,73,100,84,6.6,35,PrixElementPrestaServiceProxy,Silver
241.8,94,13.6,98,73,100,84,7.8,41,PrixElementPrestaServiceProxy,Gold
489.8,94,3.4,98,73,100,80,6.6,38,States_x0020__x0026__x0020_Provinces,Platinum
204,94,2,98,73,100,84,8.2,40,SoapGO,Silver
307.2,93,12.7,98,73,100,84,11,41,TWS-DS,Gold
437.8,95,10.4,98,73,100,84,12.6,33,TWS-DS,Platinum
266.4,95,1,99,73,100,84,8.4,34,Nearest_x0020_Service,Gold
233.2,97,2.1,99,73,100,84,7.4,32,sdm25,Gold
216.6,94,1.8,98,73,100,84,7.8,32,sdm25,Silver
261.6,91,1.1,97,73,100,84,5.4,38,GlenXMLService,Gold
198.8,99,1.1,100,73,100,84,8,37,GlenXMLService,Silver
212.4,96,1.6,99,73,100,84,11.2,31,cathparseService,Silver
277.2,85,1.6,95,73,100,84,6.4,32,cathparseService,Gold
543,95,9.3,99,73,100,84,7.4,42,SendSmsService,Platinum
227.8,100,14.6,100,73,100,84,11.6,40,SendSmsService,Gold
202.4,89,1,96,73,100,84,9.2,33,SplitsTreeImplementationService,Silver
200.2,100,1.1,100,73,100,84,10.4,40,SplitsTreeImplementationService,Silver
227,91,14.2,97,58,100,75,10.6,34,Settings,Gold
311.8,93,12.1,98,58,100,75,7.8,42,Settings,Gold
212.2,90,1.6,96,73,100,84,8.8,33,CustomerService,Silver
213,85,1.8,95,73,100,84,8.2,40,CustomerService,Silver
215,90,1.6,96,73,100,84,9.2,32,DOTSAddressPlus,Silver
227.4,89,1.1,96,73,100,84,7.6,32,DOTSAddressPlus,Gold
228.2,86,14.8,95,73,100,84,8,35,EmailAddressValidator,Gold
193,88,1.6,96,73,100,84,8.6,37,devCadastro,Silver
201.8,94,1.6,98,73,100,84,8,40,devCadastro,Silver
217.8,88,1.5,96,73,100,84,9.4,35,echoService,Silver
220.2,87,1,95,73,100,84,7.2,40,SerClsRecolectaService,Silver
233,94,14.5,98,58,100,75,11.4,34,e2gImplementationService,Gold
411.4,93,10.8,98,58,100,75,9.4,34,e2gImplementationService,Platinum
222.6,85,1,95,58,100,75,8.4,33,XmlHttpCheck,Silver
225,100,1.9,100,58,100,75,5.8,35,XmlHttpCheck,Silver
218.6,93,1.1,98,73,100,84,5.4,33,SQL_x0020_Formatter_x0020_Web_x0020_Service,Silver
241.2,100,1.1,100,73,100,84,6.6,33,SQL_x0020_Formatter_x0020_Web_x0020_Service,Gold
